value,date
25,2012-08-01
37,2012-08-02
32,2012-08-03
35,2012-08-04
54,2012-08-05
43,2012-08-06
38,2012-08-07
44,2012-08-08
33,2012-08-09
32,2012-08-10
35,2012-08-11
43,2012-08-12
37,2012-08-13
27,2012-08-14
45,2012-08-15
43,2012-08-16
33,2012-08-17
50,2012-08-18
37,2012-08-19
72,2012-08-20
35,2012-08-21
40,2012-08-22
53,2012-08-23
31,2012-08-24
39,2012-08-25
37,2012-08-26
54,2012-08-27
43,2012-08-28
46,2012-08-29
46,2012-08-30
38,2012-08-31
49,2012-09-01
46,2012-09-02
37,2012-09-03
45,2012-09-04
52,2012-09-05
0,2012-09-06
50,2012-09-07
30,2012-09-08
24,2012-09-09
33,2012-09-10
43,2012-09-11
41,2012-09-12
46,2012-09-13
31,2012-09-14
29,2012-09-15
46,2012-09-16
54,2012-09-17
66,2012-09-18
38,2012-09-19
43,2012-09-20
23,2012-09-21
39,2012-09-22
30,2012-09-23
37,2012-09-24
41,2012-09-25
47,2012-09-26
41,2012-09-27
53,2012-09-28
49,2012-09-29
48,2012-09-30
54,2012-10-01
54,2012-10-02
38,2012-10-03
45,2012-10-04
40,2012-10-05
35,2012-10-06
43,2012-10-07
56,2012-10-08
50,2012-10-09
48,2012-10-10
44,2012-10-11
37,2012-10-12
39,2012-10-13
45,2012-10-14
39,2012-10-15
39,2012-10-16
53,2012-10-17
44,2012-10-18
49,2012-10-19
34,2012-10-20
54,2012-10-21
38,2012-10-22
54,2012-10-23
52,2012-10-24
53,2012-10-25
77,2012-10-26
0,2012-10-27
33,2012-10-28
44,2012-10-29
44,2012-10-30
53,2012-10-31
43,2012-11-01
44,2012-11-02
35,2012-11-03
48,2012-11-04
49,2012-11-05
57,2012-11-06
40,2012-11-07
53,2012-11-08
40,2012-11-09
33,2012-11-10
51,2012-11-11
37,2012-11-12
59,2012-11-13
58,2012-11-14
38,2012-11-15
38,2012-11-16
55,2012-11-17
37,2012-11-18
51,2012-11-19
45,2012-11-20
25,2012-11-21
45,2012-11-22
37,2012-11-23
35,2012-11-24
39,2012-11-25
40,2012-11-26
43,2012-11-27
39,2012-11-28
48,2012-11-29
46,2012-11-30
49,2012-12-01
48,2012-12-02
46,2012-12-03
36,2012-12-04
40,2012-12-05
55,2012-12-06
43,2012-12-07
48,2012-12-08
29,2012-12-09
42,2012-12-10
39,2012-12-11
48,2012-12-12
49,2012-12-13
62,2012-12-14
42,2012-12-15
45,2012-12-16
41,2012-12-17
49,2012-12-18
46,2012-12-19
56,2012-12-20
47,2012-12-21
52,2012-12-22
47,2012-12-23
53,2012-12-24
53,2012-12-25
52,2012-12-26
54,2012-12-27
53,2012-12-28
50,2012-12-29
57,2012-12-30
43,2012-12-31
33,2013-01-01
57,2013-01-02
54,2013-01-03
52,2013-01-04
43,2013-01-05
41,2013-01-06
53,2013-01-07
56,2013-01-08
54,2013-01-09
48,2013-01-10
36,2013-01-11
62,2013-01-12
46,2013-01-13
46,2013-01-14
46,2013-01-15
47,2013-01-16
54,2013-01-17
41,2013-01-18
40,2013-01-19
56,2013-01-20
39,2013-01-21
38,2013-01-22
40,2013-01-23
65,2013-01-24
51,2013-01-25
44,2013-01-26
49,2013-01-27
50,2013-01-28
49,2013-01-29
54,2013-01-30
56,2013-01-31
49,2013-02-01
39,2013-02-02
40,2013-02-03
55,2013-02-04
55,2013-02-05
54,2013-02-06
43,2013-02-07
61,2013-02-08
43,2013-02-09
41,2013-02-10
63,2013-02-11
58,2013-02-12
50,2013-02-13
53,2013-02-14
49,2013-02-15
35,2013-02-16
42,2013-02-17
56,2013-02-18
60,2013-02-19
61,2013-02-20
68,2013-02-21
60,2013-02-22
47,2013-02-23
36,2013-02-24
53,2013-02-25
59,2013-02-26
69,2013-02-27
38,2013-02-28
50,2013-03-01
48,2013-03-02
52,2013-03-03
57,2013-03-04
61,2013-03-05
64,2013-03-06
55,2013-03-07
60,2013-03-08
88,2013-03-09
71,2013-03-10
62,2013-03-11
46,2013-03-12
71,2013-03-13
71,2013-03-14
53,2013-03-15
44,2013-03-16
73,2013-03-17
59,2013-03-18
63,2013-03-19
73,2013-03-20
80,2013-03-21
80,2013-03-22
75,2013-03-23
60,2013-03-24
49,2013-03-25
38,2013-03-26
70,2013-03-27
57,2013-03-28
100,2013-03-29
88,2013-03-30
73,2013-03-31
